sku,fnsku,asin,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable
1001,X002AME9QN,B07NJPMCCC,New,19.9,No,,Yes,53,50,3,0,53,0.1,0,0,0,0,0,0
1002,B07RD6R2TV,B07RD6R2TV,New,19.9,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
1003,X002AOA1NV,B07NJBD269,New,19.9,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
1004,B07NJ924TL,B07NJ924TL,New,19.9,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
1005,B07NJ7324F,B07NJ7324F,New,19.9,No,,Yes,16,14,0,2,16,0.1,0,0,0,0,0,0
1006,X002C059FX,B07TWWWHLL,New,19.95,No,,Yes,14,13,0,1,50,0.1,36,0,0,0,0,0
1007,X002CE3RPX,B07NJ8S26J,New,19.95,No,,Yes,3,2,1,0,3,0.1,0,0,0,0,0,0
1008,X002CE3SD9,B07NJPLZP9,New,19.95,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
1009,X002DR5PUT,B07NHTNGZ5,New,19.9,No,,Yes,2,0,2,0,2,0.1,0,0,0,0,0,0
1010,X002DNJ9PZ,B07NJQ4QTP,New,19.9,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0
1011,X002DR69XB,B07NJ1L2MT,New,19.9,No,,Yes,16,15,0,1,16,0.1,0,0,0,0,0,0
1012,X002EOPXJ9,B07NK9YNFX,New,19.9,No,,Yes,16,16,0,0,16,0.1,0,0,0,0,0,0
1013,X002EOQWK3,B07NJPQDMT,New,19.9,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0
1013A,X002EOQ0TB,B07NJNZSTF,New,19.9,No,,Yes,15,15,0,0,15,0.1,0,0,0,0,0,0
1014,X002EOQWU3,B07NJKHJTT,New,19.9,No,,Yes,13,13,0,0,13,0.1,0,0,0,0,0,0
1015,X002EOJATD,B07NZYK784,New,19.9,No,,Yes,33,31,0,2,33,0.1,0,0,0,0,0,0
1016,X002EOKZIX,B07RD6VKZ2,New,19.9,No,,Yes,10,10,0,0,10,0.1,0,0,0,0,0,0
1017,X002FDKLQT,B07ZKHJBDN,New,19.9,No,,Yes,35,35,0,0,35,0.1,0,0,0,0,0,0
1018,X002FZW83B,B07RXJKQRQ,New,19.9,No,,Yes,0,0,0,0,18,0.1,0,18,0,0,0,0
1019,X002FZWA4N,B07TWXY2WM,New,19.9,No,,Yes,0,0,0,0,18,0.1,0,18,0,0,0,0
171,X001GT6WZH,B073Q49WLL,New,29.95,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0
2000,X00144EKKX,B01G2IM10U,New,10.95,No,,Yes,0,0,0,0,0,0.08,0,0,0,0,0,0
2001,X0014AFKZL,B01GQAQ8D0,New,11.95,No,,Yes,0,0,0,0,0,0.09,0,0,0,0,0,0
2002,X00143B485,B01GQAQ89E,New,12.95,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
2003,X0013O3CB7,B01GCXY4OG,New,16.95,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
2012,X0013O3C0D,B01GCXY4DW,New,11.95,No,,Yes,0,0,0,0,0,0.15,0,0,0,0,0,0
2013,X0013TMM4F,B01GCXY4A0,New,12.95,No,,Yes,0,0,0,0,0,0.13,0,0,0,0,0,0
2014,X0013O3C03,B01GCXY4BO,New,13.95,No,,Yes,0,0,0,0,0,0.11,0,0,0,0,0,0
2015,X0013TMM4P,B01GCXY4K0,New,16.95,No,,Yes,0,0,0,0,0,0.13,0,0,0,0,0,0
2036,X0013O39DN,B01GCXY4B4,New,10.95,No,,Yes,0,0,0,0,0,0.06,0,0,0,0,0,0
2037,X0013OLJET,B01GCXY46E,New,11.95,No,,Yes,0,0,0,0,0,0.06,0,0,0,0,0,0
2038,X0014AMDHJ,B01GCXY49G,New,15.95,No,,Yes,0,0,0,0,0,0.11,0,0,0,0,0,0
2039,X0014AMOM3,B01GCXY4AU,New,14.95,No,,Yes,0,0,0,0,0,0.13,0,0,0,0,0,0
2044,X0014AMOLT,B01GCXY4JG,New,10.95,No,,Yes,0,0,0,0,0,0.02,0,0,0,0,0,0
2045,X0013OLQZ1,B01GCXY48W,New,11.95,No,,Yes,0,0,0,0,0,0.11,0,0,0,0,0,0
2046,X0013OLJEJ,B01GCXY4C8,New,12.95,No,,Yes,0,0,0,0,0,0.07,0,0,0,0,0,0
2047,X0014AMCNT,B01GCXY47S,New,13.95,No,,Yes,0,0,0,0,0,0.13,0,0,0,0,0,0
95,X0016BCFVZ,B01K08H2UW,New,17.95,No,,Yes,0,0,0,0,0,0.15,0,0,0,0,0,0
GB-4288389-20-White_FBA,X00261UTO9,B07NJ7NYDQ,New,19.9,No,,Yes,28,26,2,0,28,0.1,0,0,0,0,0,0
Uncommingled.MSKU.1566548022574,X002AINF4T,B07RD6R2TV,Unknown,,,,,0,0,0,0,0,,0,0,0,0,0,0
Uncommingled.MSKU.1571068050840,X002AO9S2B,B07NJ924TL,Unknown,,,,,0,0,0,0,0,,0,0,0,0,0,0
Uncommingled.MSKU.1571068061481,X002AKRCD7,B07NJ7324F,Unknown,,,,,0,0,0,0,0,,0,0,0,0,0,0
WG-21GT-F2G9,X002AMEO3L,B07NJBD269,New,19.9,No,,Yes,0,0,0,0,0,0.1,0,0,0,0,0,0
