seller-sku	asin1	item-name	item-description	listing-id	price	quantity	open-date	product-id-type	item-note	product-id
140	B07KSV9YBC	DoggyMarket 25" Round Dog Puppy Ultra Cave Bed for Small and Medium Dogs or Cats	As Seen on TV Plush Pet Cave Features: Ultra Plush Thick Bed Fits Popular Breeds like: Yorkshire Terriers, Cavalier King Charles Spaniels, Shetland Sheepdogs, Dachshunds Large 25" Diameter Color: Red Ultra Plush Poly Sherpa Lining Machine Washable Polyester Cover Large Zipper on the back to remove or replace pillow 2 Small Zippers on the front sides that hold a plastic tubing that runs on top of the cave We have tons of products your dog will love. Check them below.	1123UJ2NS5U	34.95	169	2018-11-22 22:23:54 PST	3		700256879381
170	B07KSXZRJT	DoggyMarket Pet Dog Bed - Extra Warm Plaid Slipper Design - Fits Small Medium Dogs Cats	Your dog or cat will love slipping into this Plaid Slipper Pet Bed. It's partially closed for extra warmth and an added sense of security. It will quickly become your pet's favorite spot for both naps and nighttime. 16-3/4"W x 21"D x 13"H. Polyester. Imported. Perfect for small dogs and cats who like to snuggle! Size and Material 16.75"W x 21"D x 13"H Polyester Colors Black Tan Red - 2 models, Red with Black or Red with White - One of these two models will be shipped based on stock availability We have tons of products your dog will love. Check them below.	1123UJ2WQ5K	29.95	5	2018-11-22 22:34:20 PST	3		700256879398
GB-100731-20-Black	B07LFHSS2B	Funny Chihuahua Coffee Mug Whoever Said Diamonds Are a Girl's Best Friend Never Owned a Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT3W9TI	16.95	100	2018-12-17 09:13:27 PST	1		B07LFHSS2B
GB-101710-20-White	B07LFKNRYY	Funny Chihuahua Coffee Mug Any Woman Can Be a Mother But It Takes Someone Special To Be a Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT2IE9K	14.95	100	2018-12-17 09:11:09 PST	1		B07LFKNRYY
GB-102152-20-Black	B07LF83YJY	Funny Chihuahua Coffee Mug Love Is A Four-Legged Word Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USCZM1J	16.95	100	2018-12-17 00:01:56 PST	3		705911259980
GB-102152-20-White	B07LF815LK	Funny Chihuahua Coffee Mug Love Is A Four-Legged Word Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USDQUL3	14.95	100	2018-12-16 23:59:44 PST	3		705911259973
GB-102155-20-Black	B07LFLC32M	Funny Yorkie Coffee Mug Love Is a Four Legged Word Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217UT7VNKP	16.95	100	2018-12-17 11:18:14 PST	1		B07LFLC32M
GB-102155-20-White	B07LFLTCQR	Funny Yorkie Coffee Mug Love Is a Four Legged Word Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217UT85BEN	14.95	100	2018-12-17 11:15:56 PST	1		B07LFLTCQR
GB-103681-20-White	B07LFL2STW	Funny Chihuahua Coffee Mug Che wa wa 100% All Natural Anti-Depressant Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT41728	14.95	100	2018-12-17 09:08:51 PST	1		B07LFL2STW
GB-103682-20-White	B07LFLDMDV	Funny Chihuahua Coffee Mug I Take My Coffee Black With a Few Chihuahua Hairs Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT2VVG6	14.95	100	2018-12-17 09:07:07 PST	1		B07LFLDMDV
